movie_id,person_id,name,department,job,gender
156022,1398018,Alex Siskin,Production,Producer,0
156022,1419116,Jill Rosenblatt,Production,Production Accountant,0
156022,1392615,Molly Allen,Production,Production Supervisor,0
156022,1419101,Brian Drewes,Visual Effects,Visual Effects Producer,0
156022,1419102,Sean Devereaux,Visual Effects,Visual Effects Supervisor,0
156022,22814,Richard Wenk,Writing,Writer,2
157058,130051,Craig Moss,Directing,Director,0
157058,130051,Craig Moss,Writing,Writer,0
157185,1310498,Ivan Kavanagh,Directing,Director,0
157185,1310498,Ivan Kavanagh,Production,Producer,0
157185,1310498,Ivan Kavanagh,Writing,Writer,0
157293,1170143,Remo D'Souza,Directing,Director,0
157293,53677,Ronnie Screwvala,Production,Producer,2
157293,233068,Siddharth Roy Kapur,Production,Producer,0
157293,1170143,Remo D'Souza,Writing,Story,0
157293,550327,Tushar Hiranandani,Writing,Writer,0
157336,525,Christopher Nolan,Directing,Director,2
157336,561,John Papsidera,Production,Casting,0
157336,1463954,Dixie Webster,Production,Casting,0
157336,989750,Deanna Brigidi,Production,Casting Associate,1
157336,1564997,Mark Scoon,Production,Executive In Charge Of Production,0
157336,29608,Jake Myers,Production,Executive Producer,0
157336,54211,Thomas Tull,Production,Executive Producer,0
157336,113913,Jordan Goldberg,Production,Executive Producer,0
157336,1157625,Kip Thorne,Production,Executive Producer,0
157336,1345627,Mandi Dillin,Production,Location Manager,0
157336,1447636,Bruce L. Brownstein,Production,Location Manager,0
157336,525,Christopher Nolan,Production,Producer,2
157336,556,Emma Thomas,Production,Producer,1
157336,2162,Lynda Obst,Production,Producer,1
157336,18926,Casey Grant,Production,Production Manager,0
157336,1400007,Michelle Brattson,Production,Production Supervisor,0
157336,1417836,Andrew McEvoy,Visual Effects,Animation,0
157336,1447610,Evan Clover,Visual Effects,Animation,0
157336,1447611,Trystan James,Visual Effects,Animation,0
157336,1447613,Lai Lok Chau,Visual Effects,Animation,0
157336,1447614,Dorian Knapp,Visual Effects,Animation,0
157336,1447615,Gábor Kiss,Visual Effects,Animation,0
157336,1413116,Ann Podlozny,Visual Effects,Visual Effects Producer,0
157336,1447621,Graeme Puttock,Visual Effects,Visual Effects Producer,0
157336,1447622,Jenny Basen,Visual Effects,Visual Effects Producer,0
157336,1447624,Harrison Goldstein,Visual Effects,Visual Effects Producer,0
157336,1417828,Andrew Lockley,Visual Effects,Visual Effects Supervisor,0
157336,525,Christopher Nolan,Writing,Writer,2
157336,527,Jonathan Nolan,Writing,Writer,2
157350,17329,Neil Burger,Directing,Director,2
157350,1352983,Valeria Migliassi Collins,Directing,Script Supervisor,0
157350,5914,Mary Vernieu,Production,Casting,1
157350,39123,Venus Kanani,Production,Casting,1
157350,1352985,Julie Hannum,Production,Location Manager,1
157350,1352988,James R. McAllister,Production,Location Manager,0
157350,931,Douglas Wick,Production,Producer,2
157350,19862,Lucy Fisher,Production,Producer,1
157350,1345249,Pouya Shahbazian,Production,Producer,0
157350,1352973,Sarah Swick,Visual Effects,Visual Effects Producer,0
157350,1399633,Greg Baxter,Visual Effects,Visual Effects Producer,0
157350,10974,Jim Berney,Visual Effects,Visual Effects Supervisor,0
